Participant ID,Onward eligibility,Onward Reason,Onward max reimbursment amount,Return eligibility,Return reason,Return max reimbursment amount,Attending,Onward ?,Return ?,Hotel ?
2167,Not Eligible,8116713662,410,Eligible,Cancelled,410,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2168,Not Eligible,4808715787,720,Not Eligible,2613121137,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2169,Not Eligible,4808715787,720,Not Eligible,2613121137,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2170,Not Eligible,4808715787,720,Not Eligible,2613121137,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2171,Not Eligible,4808715787,720,Not Eligible,2613121137,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2172,Not Eligible,4808715787,720,Not Eligible,2613121137,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2173,Not Eligible,2823003921,265,Not Eligible,2723005058,265,Attending,Ticket Availed,Ticket Availed,Hotel Required
2174,Not Eligible,2823003921,265,Not Eligible,2723005058,265,Attending,Ticket Availed,Ticket Availed,Hotel Required
2175,Not Eligible,2823003921,265,Not Eligible,2723005058,265,Attending,Ticket Availed,Ticket Availed,Hotel Required
2176,Not Eligible,2823003921,265,Not Eligible,2723005058,265,Attending,Ticket Availed,Ticket Availed,Hotel Required
2177,Not Eligible,2823003921,265,Not Eligible,2723005058,265,Attending,Ticket Availed,Ticket Availed,Hotel Required
2178,Eligible,Cancelled,165,Eligible,Cancelled,165,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2179,Eligible,Cancelled,165,Eligible,Cancelled,165,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2180,Eligible,Cancelled,165,Eligible,Cancelled,165,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2181,Eligible,Cancelled,165,Eligible,Cancelled,165,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2182,Eligible,Cancelled,165,Eligible,Cancelled,165,Attending,Ticket Not Availed,Ticket Not Availed,Hotel Required
2183,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2184,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2185,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2186,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2187,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2188,Not Eligible,Not issued,165,Not Eligible,Not issued,165,No Response,NA,NA,NA
2189,Not Eligible,Not issued,165,Not Eligible,Not issued,165,No Response,NA,NA,NA
2190,Not Eligible,Not issued,165,Not Eligible,Not issued,165,No Response,NA,NA,NA
2191,Not Eligible,Not issued,165,Not Eligible,Not issued,165,No Response,NA,NA,NA
2192,Not Eligible,Not issued,165,Not Eligible,Not issued,165,No Response,NA,NA,NA
2193,Not Eligible,Cancelled,255,Not Eligible,Cancelled,255,Not Attending,NA,NA,NA
2194,Not Eligible,Cancelled,255,Not Eligible,Cancelled,255,Not Attending,NA,NA,NA
2195,Not Eligible,Cancelled,255,Not Eligible,Cancelled,255,Not Attending,NA,NA,NA
2196,Not Eligible,Cancelled,255,Not Eligible,Cancelled,255,Not Attending,NA,NA,NA
2197,Not Eligible,Cancelled,255,Not Eligible,Cancelled,255,Not Attending,NA,NA,NA
2198,Not Eligible,4708807541,575,Not Eligible,2613237597,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2199,Not Eligible,4708807541,575,Not Eligible,2613237597,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2200,Not Eligible,4708807541,575,Not Eligible,2613237597,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2201,Not Eligible,4708807541,575,Not Eligible,2613237597,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2202,Not Eligible,4708807541,575,Not Eligible,2613237597,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2203,Not Eligible,4455023105,705,Not Eligible,2450975555,705,Attending,Ticket Availed,Ticket Availed,Hotel Required
2204,Not Eligible,4455023105,705,Not Eligible,2450975555,705,Attending,Ticket Availed,Ticket Availed,Hotel Required
2205,Not Eligible,Cancelled,705,Not Eligible,Cancelled,705,Not Attending,NA,NA,NA
2206,Not Eligible,4455023105,705,Not Eligible,2450975555,705,Attending,Ticket Availed,Ticket Availed,Hotel Required
2207,Not Eligible,4455023105,705,Not Eligible,2450975555,705,Attending,Ticket Availed,Ticket Availed,Hotel Required
2208,Not Eligible,8504063244,255,Not Eligible,2451339206,255,No Response,Ticket Availed,Ticket Availed,Hotel Required
2209,Not Eligible,8504063244,255,Not Eligible,2451339206,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2210,Not Eligible,8504063244,255,Not Eligible,2451339206,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2211,Not Eligible,8504063244,255,Not Eligible,2451339206,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2212,Not Eligible,8504063244,255,Not Eligible,2451339206,255,Attending,Ticket Availed,Ticket Availed,Hotel Required
2213,Not Eligible,4501187138,575,Not Eligible,2722863428,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2214,Not Eligible,4501187138,575,Not Eligible,2722863428,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2215,Not Eligible,Cancelled,575,Not Eligible,Cancelled,575,Not Attending,NA,NA,NA
2216,Not Eligible,4501187138,575,Not Eligible,2722863428,575,Attending,Ticket Availed,Ticket Availed,Hotel Required
2217,Not Eligible,Cancelled,575,Not Eligible,Cancelled,575,Not Attending,NA,NA,NA
2218,Not Eligible,Cancelled,515,Not Eligible,Cancelled,515,No Response,NA,NA,NA
2219,Not Eligible,Cancelled,515,Not Eligible,Cancelled,515,No Response,NA,NA,NA
2220,Not Eligible,Cancelled,515,Not Eligible,Cancelled,515,No Response,NA,NA,NA
2221,Not Eligible,Cancelled,515,Not Eligible,Cancelled,515,No Response,NA,NA,NA
2222,Not Eligible,Cancelled,515,Not Eligible,Cancelled,515,No Response,NA,NA,NA
2223,Not Eligible,6523219918,165,Not Eligible,2722960551,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2224,Not Eligible,6523219918,165,Not Eligible,2722960551,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2225,Not Eligible,6523219918,165,Not Eligible,2722960551,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2226,Not Eligible,6523219918,165,Not Eligible,2722960551,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2227,Not Eligible,6523219918,165,Not Eligible,2722960551,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2228,Not Eligible,2451211690,375,Eligible,Cancelled,375,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2229,Not Eligible,2451211690,375,Eligible,Cancelled,375,Attending,Ticket Availed,Ticket Not Availed,Hotel Required
2230,Not Eligible,Cancelled,375,Not Eligible,Cancelled,375,Not Attending,Ticket Not Availed,Ticket Not Availed,Hotel Not Required
2231,Not Eligible,Cancelled,375,Not Eligible,Cancelled,375,Not Attending,NA,NA,NA
2232,Not Eligible,Cancelled,375,Not Eligible,Cancelled,375,Not Attending,NA,NA,NA
2233,Not Eligible,4708715304,670,Not Eligible,2822716420,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2234,Not Eligible,4708715304,670,Not Eligible,2822716420,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2235,Not Eligible,4708715304,670,Not Eligible,2822716420,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2236,Not Eligible,4708715304,670,Not Eligible,2822716420,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2237,Not Eligible,4708715304,670,Not Eligible,2822716420,670,Attending,Ticket Availed,Ticket Availed,Hotel Required
2238,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2239,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2240,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2241,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2242,Not Eligible,NCR,0,Not Eligible,NCR,0,Attending,NA,NA,Hotel Not Required
2243,Not Eligible,4255045633,720,Not Eligible,2451004262,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2244,Not Eligible,4255045633,720,Not Eligible,2451004262,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2245,Not Eligible,4255045633,720,Not Eligible,2451004262,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2246,Not Eligible,4255045633,720,Not Eligible,2451004262,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2247,Not Eligible,4255045633,720,Not Eligible,2451004262,720,Attending,Ticket Availed,Ticket Availed,Hotel Required
2248,Not Eligible,6719163589,165,Not Eligible,2150635504,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2249,Not Eligible,6719163589,165,Not Eligible,2150635504,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
2250,Not Eligible,6719163589,165,Not Eligible,2150635504,165,Attending,Ticket Availed,Ticket Availed,Hotel Required
